iter	Passed	Remaining
1308	39505	20854
1309	39540	20826
1310	39574	20798
1311	39614	20773
1312	39646	20744
1313	39678	20715
1314	39717	20689
1315	39750	20660
1316	39786	20633
1317	39811	20600
1318	39841	20569
1319	39866	20537
1320	39899	20508
1321	39928	20477
1322	39957	20447
1323	39981	20413
1324	40006	20380
1325	40033	20348
1326	40060	20317
1327	40089	20286
1328	40119	20256
1329	40148	20225
1330	40174	20192
1331	40201	20160
1332	40225	20128
1333	40250	20095
1334	40277	20063
1335	40303	20031
1336	40330	19999
1337	40357	19967
1338	40386	19936
1339	40413	19905
1340	40441	19874
1341	40466	19841
1342	40497	19811
1343	40522	19779
1344	40548	19746
1345	40577	19716
1346	40604	19684
1347	40641	19657
1348	40671	19627
1349	40703	19597
1350	40739	19570
1351	40770	19540
1352	40808	19514
1353	40836	19483
1354	40862	19451
1355	40889	19419
1356	40922	19390
1357	40947	19357
1358	40971	19324
1359	40997	19292
1360	41024	19261
1361	41054	19231
1362	41088	19202
1363	41115	19171
1364	41145	19140
1365	41169	19108
1366	41199	19077
1367	41216	19041
1368	41247	19011
1369	41269	18978
1370	41296	18946
1371	41325	18915
1372	41356	18886
1373	41386	18855
1374	41413	18824
1375	41440	18792
1376	41463	18759
1377	41491	18728
1378	41518	18696
1379	41542	18663
1380	41574	18634
1381	41601	18603
1382	41631	18573
1383	41661	18542
1384	41692	18513
1385	41723	18483
1386	41744	18449
1387	41773	18418
1388	41799	18387
1389	41827	18355
1390	41851	18323
1391	41879	18292
1392	41908	18261
1393	41933	18229
1394	41958	18197
1395	41987	18166
1396	42012	18134
1397	42035	18100
1398	42065	18071
1399	42100	18043
1400	42131	18013
1401	42157	17981
1402	42185	17950
1403	42213	17919
1404	42238	17887
1405	42266	17856
1406	42289	17823
1407	42314	17791
1408	42341	17760
1409	42366	17727
1410	42392	17696
1411	42418	17664
1412	42446	17633
1413	42478	17604
1414	42517	17578
1415	42554	17550
1416	42590	17523
1417	42628	17496
1418	42657	17465
1419	42690	17436
1420	42715	17404
1421	42739	17372
1422	42764	17340
1423	42793	17309
1424	42825	17280
1425	42855	17250
1426	42892	17223
1427	42921	17192
1428	42949	17161
1429	42975	17129
1430	43001	17098
1431	43030	17067
1432	43061	17038
1433	43089	17007
1434	43117	16976
1435	43149	16947
1436	43181	16918
1437	43215	16889
1438	43252	16862
1439	43285	16833
1440	43315	16803
1441	43346	16773
1442	43377	16743
1443	43408	16714
1444	43437	16683
1445	43471	16655
1446	43499	16624
1447	43525	16592
1448	43554	16562
1449	43578	16529
1450	43609	16500
1451	43642	16471
1452	43672	16441
1453	43704	16411
1454	43732	16380
1455	43765	16351
1456	43802	16324
1457	43836	16296
1458	43868	16266
1459	43900	16237
1460	43932	16207
1461	43971	16180
1462	44002	16151
1463	44028	16119
1464	44057	16089
1465	44081	16056
1466	44110	16026
1467	44133	15994
1468	44166	15965
1469	44196	15934
1470	44223	15903
1471	44255	15874
1472	44283	15843
1473	44312	15813
1474	44352	15786
1475	44384	15757
1476	44417	15728
1477	44453	15700
